Latitude,Longitude,Distance
82.86,-45.74,0.331524
82.86,-45.58,0.428264
82.86,-45.54,0.0362437
82.86,-44.18,0.43564
82.86,-44.14,0.366327
82.86,-44.1,0.297396
82.86,-44.06,0.228853
82.86,-44.02,0.160685
82.86,-43.98,0.0928986
82.86,-43.94,0.0254941
82.86,-43.9,0.0415222
82.86,-43.86,0.108163
82.86,-43.82,0.174422
82.86,-43.78,0.240299
82.86,-43.74,0.305788
82.86,-43.7,0.370901
82.86,-43.66,0.435632
82.86,-43.62,0.435797
82.86,-43.58,0.37895
82.86,-43.54,0.321716
82.86,-43.5,0.264098
82.86,-43.46,0.206098
82.86,-43.42,0.147716
82.86,-43.38,0.0889563
82.86,-43.34,0.0298089
82.86,-43.3,0.0297209
82.86,-43.26,0.0896332
82.86,-43.22,0.149922
82.86,-43.18,0.210599
82.86,-43.14,0.271658
82.86,-43.1,0.3331
82.86,-43.06,0.394918
82.86,-43.02,0.467845
82.86,-40.1,0.0755599
82.86,-40.06,0.476822
82.86,-39.86,0.154574
82.86,-39.82,0.397626
82.86,-36.74,0.167219
82.86,-36.7,0.377544
82.86,-36.58,0.0899078
82.86,-36.54,0.462857
82.86,-35.18,0.14066
82.86,-35.14,0.397369
82.86,-35.06,0.194503
82.86,-35.02,0.35818
82.86,-26.54,0.496173
82.86,-26.5,0.457116
82.86,-26.46,0.417675
82.86,-26.42,0.377853
82.86,-26.38,0.337645
82.86,-26.34,0.297055
82.86,-26.3,0.256079
82.86,-26.26,0.214722
82.86,-26.22,0.262401
82.86,-26.14,0.00595253
82.86,-25.7,0.111809
82.86,-25.66,0.372991
82.86,-24.86,0.0876723
82.86,-24.82,0.40642
82.86,-24.54,0.125125
82.86,-24.5,0.0434278
82.86,-24.46,0.0378895
82.86,-24.42,0.118822
82.86,-24.38,0.249971
82.86,-24.26,0.498887
82.86,-24.22,0.141879
82.86,-24.18,0.3834
82.82,-81.5,0.468592
82.82,-81.46,0.189482
82.82,-81.42,0.0892926
82.82,-81.38,0.367732
