"Latitude","Longitude","Elevation"
4924,839,109
4915,853,169
4858,852,245
4847,913,224
4841,913,419
4852,914,280
4850,912,311
4913,931,277
4849,948,443
4924,958,473
4907,947,398
4928,1023,325
4919,1038,467
4901,1058,424
4930,1058,302
4930,1105,312
4923,1110,386
4913,1106,395
4926,1154,418
4926,1151,414
4913,1150,442
4903,1206,371
4857,1126,539
4850,1234,359
4907,1308,1446
4902,1314,613
4800,751,300
4822,750,156
4827,825,801
4806,845,975
4811,900,920
4806,915,646
4843,942,382
4840,952,737
4813,955,549
4823,957,523
4847,1042,457
4826,1056,463
4843,1113,387
4811,1052,562
4804,1054,628
4812,1116,535
4843,1132,370
4845,1148,404
4824,1142,470
4804,1138,560
4805,1117,600
4808,1133,535
4808,1142,529
4815,1133,489
4819,1157,467
4821,1147,448
4820,1137,510
4817,1230,410
4835,1328,408
4754,737,217
4753,800,1493
4741,911,447
4740,931,424
4743,1020,705
4759,1014,644
4724,1017,812
4752,1037,721
4750,1052,760
4725,1059,2962
4748,1101,986
4729,1104,720
4746,1136,716
4742,1201,1835
4753,1232,549
4806,1341,634
4813,1329,443
4834,1400,602
4814,1412,313
4814,1411,313
4803,1408,388
4824,1450,608
4831,1430,548
4831,1425,682
4807,1452,274
4841,1522,607
4837,1512,511
4858,1502,561
4846,1557,262
4821,1522,860
4812,1537,282
4819,1607,176
4840,1638,209
4812,1622,171
4815,1622,200
4807,1634,190
4812,1634,153
4813,1302,390
4828,1326,315
4818,1417,262
4828,1542,210
4802,1535,681
4801,1614,249
4802,1617,218
4730,945,438
4716,936,440
4708,1019,1275
4708,1014,2080
4709,1034,785
4730,1045,870
4716,1121,581
4720,1142,543
4713,1128,2247
4652,1102,1937
4700,1131,1450
4735,1210,508
4731,1227,674
4713,1202,1250
4725,1222,1760
4714,1211,1000
4708,1237,2309
4740,1245,545
4724,1313,550
4718,1247,754
4720,1248,763
4707,1308,1100
4703,1257,3107
4723,1327,845
4706,1339,1094
4716,1334,1742
4748,1300,450
4757,1336,496
4758,1306,502
4751,1322,491
4754,1347,427
4749,1344,1621
4743,1338,470
4732,1408,649
4736,1445,492
4707,1412,1305
4712,1445,682
4751,1500,615
4748,1518,872
4746,1519,875
4720,1505,580
4725,1516,482
4743,1547,1546
4758,1616,233
4750,1613,284
4738,1549,960
4731,1602,1000
4726,1607,730
4751,1632,190
4713,1620,267
4757,1652,129
4709,1619,290
4707,1230,1632
4650,1248,665
4639,1309,646
4659,1311,1185
4647,1342,685
4636,1340,2160
4637,1352,495
4656,1455,1055
4707,1424,1125
4651,1412,705
4647,1448,468
4639,1420,452
4634,1446,527
4700,1526,347
4712,1528,1438
4652,1554,303
4642,1559,208
4700,1227,1198
4641,1300,707
4659,1312,1184
4656,1311,822
4645,1305,630
4644,1351,896
4707,1411,818
4707,1527,377
4705,1535,544
4726,944,410
4715,1011,1475
4659,1019,2323
4720,1244,1956
4721,1309,750
4715,1250,917
4709,1345,1153
4747,1303,422
4725,1338,1207
4744,1420,611
4737,1347,661
4744,1327,542
4733,1357,802
4730,1407,710
4742,1551,485
4747,1555,586
4738,1549,1323
4749,1602,932
5005,1224,471
5012,1254,604
4955,1243,541
